symbol,direction,entry_time,entry_price,sl_price,tp_price,exit_time,exit_price,exit_type,pnl_gross,entry_commission,exit_commission,pnl_net,roi_pct,duration_hours
ARB/USDT,SHORT,2025-11-19 17:00:00,0.223,0.22865714285714286,0.21168571428571428,2025-11-19 21:00:00,0.22865714285714286,SL,-25.36835361947471,0.5,0.5,-26.36835361947471,-26.36835361947471,4
ARB/USDT,LONG,2025-11-20 12:00:00,0.2398,0.23595357142857143,0.24749285714285718,2025-11-20 14:00:00,0.23595357142857143,SL,-16.040152508042468,0.5,0.5,-17.040152508042468,-17.040152508042468,2
ATOM/USDT,LONG,2025-11-20 13:00:00,2.994,2.902071428571429,3.1778571428571434,2025-11-20 16:00:00,2.902071428571429,SL,-30.70426567420553,0.5,0.5,-31.70426567420553,-31.70426567420553,3
ADA/USDT,SHORT,2025-11-21 03:00:00,0.4298,0.44370714285714286,0.4019857142857143,2025-11-21 07:00:00,0.4019857142857143,TP,64.71448514259129,0.5,0.5,63.714485142591286,63.71448514259128,4
DOGE/USDT,SHORT,2025-11-21 07:00:00,0.14024,0.14552535714285714,0.1296692857142857,2025-11-23 14:00:00,0.14552535714285714,SL,-37.68794311792023,0.5,0.5,-38.68794311792023,-38.68794311792023,55
TRX/USDT,SHORT,2025-11-21 07:00:00,0.27543,0.27876,0.26877,2025-11-21 08:00:00,0.27876,SL,-12.090186254220672,0.5,0.5,-13.090186254220672,-13.090186254220674,1
DOT/USDT,SHORT,2025-11-21 07:00:00,2.399,2.493392857142857,2.2102142857142857,2025-11-25 14:00:00,2.2102142857142857,TP,78.6935032453999,0.5,0.5,77.6935032453999,77.6935032453999,103
TRX/USDT,SHORT,2025-11-21 13:00:00,0.27691,0.28055071428571426,0.2696285714285714,2025-11-28 05:00:00,0.28055071428571426,SL,-13.147644670522102,0.5,0.5,-14.147644670522102,-14.147644670522103,160
DOT/USDT,SHORT,2025-11-23 16:00:00,2.297,2.3321428571428573,2.226714285714286,2025-11-24 02:00:00,2.3321428571428573,SL,-15.299458921574724,0.5,0.5,-16.299458921574725,-16.299458921574725,10
ATOM/USDT,SHORT,2025-11-24 13:00:00,2.42,2.4651071428571427,2.329785714285714,2025-11-24 16:00:00,2.4651071428571427,SL,-18.639315230224295,0.5,0.5,-19.639315230224295,-19.639315230224295,3
APT/USDT,SHORT,2025-11-25 12:00:00,2.2524,2.2927392857142856,2.171721428571429,2025-11-25 17:00:00,2.2927392857142856,SL,-17.909467996042206,0.5,0.5,-18.909467996042206,-18.909467996042206,5
ATOM/USDT,SHORT,2025-11-25 14:00:00,2.446,2.4850000000000003,2.3680000000000003,2025-11-25 22:00:00,2.4850000000000003,SL,-15.944399018806275,0.5,0.5,-16.944399018806273,-16.944399018806273,8
LINK/USDT,LONG,2025-11-25 21:00:00,12.982,12.696357142857142,13.553285714285714,2025-11-27 02:00:00,13.553285714285714,TP,44.00598631071596,0.5,0.5,43.00598631071596,43.00598631071596,29
APT/USDT,SHORT,2025-11-26 16:00:00,2.1973,2.2415499999999997,2.1088,2025-11-26 17:00:00,2.2415499999999997,SL,-20.138351613343605,0.5,0.5,-21.138351613343605,-21.138351613343605,1
TRX/USDT,LONG,2025-11-26 17:00:00,0.27551,0.27439892857142856,0.27773214285714287,2025-11-27 11:00:00,0.27773214285714287,TP,8.065561530045715,0.5,0.5,7.065561530045715,7.065561530045715,18
OP/USDT,LONG,2025-11-27 14:00:00,0.3365,0.33080000000000004,0.34790000000000004,2025-11-28 02:00:00,0.33080000000000004,SL,-16.939078751857302,0.5,0.5,-17.939078751857302,-17.939078751857302,12
TRX/USDT,LONG,2025-11-27 15:00:00,0.27832,0.27737285714285714,0.2802142857142857,2025-11-27 18:00:00,0.2802142857142857,TP,6.806142980330848,0.5,0.5,5.806142980330848,5.806142980330848,3
TRX/USDT,LONG,2025-11-28 00:00:00,0.28002,0.27887464285714286,0.28231071428571425,2025-11-30 14:00:00,0.28231071428571425,TP,8.180538124827716,0.5,0.5,7.1805381248277165,7.1805381248277165,62
APT/USDT,SHORT,2025-11-28 05:00:00,2.2026,2.2429821428571426,2.1218357142857145,2025-11-28 08:00:00,2.2429821428571426,SL,-18.333852200645918,0.5,0.5,-19.333852200645918,-19.333852200645918,3
TRX/USDT,LONG,2025-11-28 06:00:00,0.28093,0.27971607142857147,0.28335785714285716,2025-11-28 08:00:00,0.27971607142857147,SL,-4.3211069356371565,0.5,0.5,-5.3211069356371565,-5.3211069356371565,2
ATOM/USDT,SHORT,2025-11-28 17:00:00,2.445,2.488178571428571,2.358642857142857,2025-12-01 00:00:00,2.358642857142857,TP,35.31989482909735,0.5,0.5,34.31989482909735,34.31989482909735,55
APT/USDT,SHORT,2025-11-28 17:00:00,2.1303,2.185403571428571,2.0200928571428576,2025-11-29 14:00:00,2.0200928571428576,TP,51.73315629589377,0.5,0.5,50.73315629589377,50.733156295893764,21
ATOM/USDT,SHORT,2025-11-29 14:00:00,2.401,2.425535714285714,2.351928571428571,2025-11-29 16:00:00,2.425535714285714,SL,-10.21895638721963,0.5,0.5,-11.21895638721963,-11.21895638721963,2
DOT/USDT,SHORT,2025-11-29 17:00:00,2.237,2.2631428571428573,2.184714285714286,2025-11-30 00:00:00,2.2631428571428573,SL,-11.68657002362863,0.5,0.5,-12.68657002362863,-12.68657002362863,7
TRX/USDT,LONG,2025-11-30 18:00:00,0.28236,0.2811225,0.284835,2025-12-01 00:00:00,0.2811225,SL,-4.382702932426698,0.5,0.5,-5.382702932426698,-5.382702932426698,6
TRX/USDT,SHORT,2025-12-01 04:00:00,0.27679,0.27862321428571424,0.2731235714285714,2025-12-01 04:00:00,0.27679,OPEN,0.0,0.5,0.5,-1.0,-1.0,0
